Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
15,Danuel House Jr.,30,34,4,15.0,1.4,3.1,.448,0.4,1.5,.300,0.9,1.6,.582,.519,1.0,1.4,.761,0.5,1.2,1.7,0.8,0.4,0.1,0.6,1.3,4.2,,houseda01
16,Mo Bamba,25,57,17,13.0,1.7,3.5,.490,0.4,1.1,.391,1.3,2.4,.537,.553,0.6,0.9,.680,1.4,2.8,4.2,0.7,0.4,1.1,0.7,1.8,4.4,,bambamo01
17,KJ Martin,23,58,2,12.3,1.6,2.9,.544,0.1,0.4,.304,1.5,2.6,.581,.564,0.4,0.7,.538,0.7,1.5,2.2,0.9,0.3,0.2,0.5,1.7,3.7,,martike04
18,Jeff Dowtin,26,12,0,11.8,1.7,3.0,.556,0.8,1.6,.474,0.9,1.4,.647,.681,0.3,0.3,.750,0.3,1.4,1.7,2.3,0.6,0.1,0.4,0.1,4.3,,dowtije01
19,Jaden Springer,21,32,1,11.8,1.4,3.7,.390,0.3,1.2,.216,1.2,2.5,.469,.424,0.9,1.1,.824,0.8,1.0,1.8,1.1,0.8,0.3,0.8,1.5,4.0,,sprinja01
20,Danny Green,36,2,0,9.0,0.0,1.0,.000,0.0,0.5,.000,0.0,0.5,.000,.000,0.0,0.0,,0.0,1.0,1.0,0.5,0.5,0.0,0.0,0.5,0.0,,greenda02
21,Ricky Council IV,22,32,0,9.0,1.7,3.5,.482,0.4,1.0,.375,1.3,2.5,.525,.536,1.7,2.2,.746,0.4,1.0,1.4,0.5,0.3,0.0,0.2,0.5,5.4,,councri01
22,Furkan Korkmaz,26,35,0,8.6,0.9,2.2,.395,0.4,1.1,.350,0.5,1.0,.444,.487,0.4,0.6,.700,0.1,0.7,0.9,0.7,0.4,0.1,0.3,0.5,2.5,,korkmfu01
23,D.J. Wilson,27,2,0,7.5,2.0,3.0,.667,1.0,1.0,1.000,1.0,2.0,.500,.833,0.0,0.0,,0.5,0.5,1.0,1.0,0.0,1.0,0.0,0.5,5.0,,wilsodj01
24,Terquavion Smith,21,16,0,5.3,1.1,2.9,.391,0.8,2.2,.371,0.3,0.7,.455,.533,0.2,0.3,.600,0.0,0.3,0.3,0.8,0.5,0.0,0.4,0.5,3.3,,smithte01
25,Kenneth Lofton Jr.,21,2,0,4.5,0.5,3.0,.167,0.0,1.0,.000,0.5,2.0,.250,.167,0.0,0.0,,0.0,1.5,1.5,0.0,0.0,0.0,1.0,0.0,1.0,,loftoke01
26,Darius Bazley,23,3,0,3.3,0.0,0.3,.000,0.0,0.0,,0.0,0.3,.000,.000,0.0,0.0,,0.0,0.3,0.3,0.7,0.0,0.0,0.3,0.0,0.0,,bazleda01
27,Filip Petrušev,23,1,0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,petrufi01
28,Javonte Smart,24,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,smartja01
,Team Totals,,,,48.2,41.5,89.4,.464,12.1,33.3,.363,29.4,56.1,.525,.532,19.5,23.6,.826,11.0,31.9,43.0,24.9,8.5,6.0,12.0,20.3,114.6,,-9999
